check_in_date,Counts
2017-01-01 12:00:00,1
2017-01-04 12:00:00,1
2017-01-23 12:00:00,1
2017-02-11 12:00:00,1
2017-02-12 12:00:00,2
2017-02-13 12:00:00,1
2017-02-14 12:00:00,1
2017-02-16 12:00:00,1
2017-03-14 12:00:00,1
2017-03-16 05:00:00,1
2017-03-17 05:00:00,2
2017-03-18 05:00:00,1
2017-03-19 05:00:00,1
2017-03-20 05:00:00,3
2017-03-21 05:00:00,6
2017-03-22 05:00:00,1
2017-03-23 05:00:00,4
2017-03-23 12:00:00,1
2017-03-25 05:00:00,1
2017-03-26 05:00:00,1
2017-03-27 05:00:00,4
2017-03-28 05:00:00,5
2017-03-29 05:00:00,7
2017-03-30 05:00:00,7
2017-03-31 05:00:00,8
2017-04-01 05:00:00,3
2017-04-02 05:00:00,2
2017-04-03 05:00:00,1
2017-04-03 12:00:00,1
2017-04-09 05:00:00,6
2017-04-10 05:00:00,2
2017-04-11 05:00:00,1
2017-04-15 05:00:00,2
2017-04-16 05:00:00,2
2017-04-18 05:00:00,2
2017-04-25 05:00:00,1
2017-05-03 05:00:00,1
2017-05-06 05:00:00,1
2017-05-07 05:00:00,1
2017-05-08 05:00:00,1
2017-05-11 05:00:00,1
2017-05-11 12:00:00,1
2017-05-13 05:00:00,1
2017-05-15 05:00:00,1
2017-05-16 05:00:00,2
2017-05-20 05:00:00,1
2017-05-22 05:00:00,2
2017-05-22 12:00:00,2
2017-06-01 05:00:00,1
2017-06-04 05:00:00,1
2017-06-23 12:00:00,1
2017-06-27 05:00:00,1
2017-06-29 12:00:00,1
2017-07-03 12:00:00,1
