check_in_date,Counts
2017-01-01 ,1
01-04 ,1
01-08 ,1
01-17 ,1
01-22 ,1
01-23 ,1
01-29 ,1
02-05 ,2
02-06 ,1
02-07 ,1
02-11 ,1
02-12 ,5
02-13 ,1
02-14 ,1
02-16 ,1
02-19 ,5
02-25 ,1
02-26 ,1
03-12 ,1
03-14 ,1
03-16 ,1
03-17 ,2
03-18 ,1
03-18 ,1
03-18 ,1
03-18 ,1
03-18 ,1
03-18 ,1
03-18 ,1
03-18 ,1
03-18 ,1
03-19 ,1
03-19 ,2
03-20 ,3
03-21 ,6
03-22 ,1
03-23 ,4
03-23 ,1
03-25 ,1
03-26 ,1
03-27 ,4
03-28 ,5
03-28 ,1
03-29 ,7
03-30 ,7
03-31 ,8
04-01 ,3
04-02 ,2
04-03 ,1
04-03 ,1
04-09 ,6
04-10 ,2
04-11 ,1
04-15 ,2
04-15 ,1
04-16 ,2
04-18 ,2
04-25 ,1
04-25 ,1
04-27 ,1
04-29 ,1
05-03 ,1
05-05 ,1
05-06 ,1
05-07 ,1
05-08 ,1
05-11 ,1
05-11 ,1
05-13 ,1
05-13 ,1
05-14 ,1
05-14 ,2
05-14 ,1
05-15 ,1
05-16 ,2
05-17 ,1
05-20 ,1
05-21 ,2
05-22 ,2
05-22 ,2
05-23 ,1
05-24 ,1
05-25 ,1
05-28 ,1
06-01 ,1
06-01 ,1
06-03 ,1
06-04 ,1
06-05 ,1
06-05 ,1
06-08 ,1
06-11 ,1
06-11 ,1
06-16 ,1
06-17 ,2
06-18 ,3
06-19 ,1
06-23 ,1
06-25 ,1
06-26 ,3
06-27 ,1
06-27 ,2
2017-06-29 ,1
