check_in_date,Counts
2017-01-01,1
2017-01-04,1
2017-01-08,1
2017-01-17,1
2017-01-22,1
2017-01-23,1
2017-01-29,1
2017-02-05,2
2017-02-06,1
2017-02-06,1
2017-02-07,1
2017-02-11,1
2017-02-12,5
2017-02-13,1
2017-02-14,1
2017-02-16,1
2017-02-19,5
2017-02-25,1
2017-02-26,1
2017-03-12,1
2017-03-14,1
2017-03-16,1
2017-03-17,2
2017-03-18,2
2017-03-18,1
2017-03-18,1
2017-03-18,1
2017-03-18,1
2017-03-18,1
2017-03-18,1
2017-03-18,1
2017-03-18,1
2017-03-19,1
2017-03-19,2
2017-03-20,4
2017-03-21,6
2017-03-22,2
2017-03-23,4
2017-03-23,1
2017-03-25,2
2017-03-26,1
2017-03-27,4
2017-03-28,5
2017-03-28,1
2017-03-29,7
2017-03-30,7
2017-03-31,9
2017-04-01,3
2017-04-02,2
2017-04-03,1
2017-04-03,1
2017-04-09,6
2017-04-10,2
2017-04-11,1
2017-04-15,2
2017-04-15,1
2017-04-16,2
2017-04-18,2
2017-04-25,1
2017-04-25,1
2017-04-27,1
2017-04-29,1
2017-05-03,1
2017-05-05,1
2017-05-06,1
2017-05-07,1
2017-05-08,1
2017-05-11,1
2017-05-11,1
2017-05-13,1
2017-05-13,1
2017-05-14,1
2017-05-14,2
2017-05-14,1
2017-05-15,1
2017-05-16,2
2017-05-17,1
2017-05-20,1
2017-05-21,2
2017-05-22,2
2017-05-22,2
2017-05-23,1
2017-05-24,1
2017-05-25,1
2017-05-28,1
2017-06-01,1
2017-06-01,1
2017-06-03,1
2017-06-04,1
2017-06-05,1
2017-06-05,1
2017-06-08,1
2017-06-11,1
2017-06-11,1
2017-06-16,1
2017-06-17,2
2017-06-18,3
2017-06-19,1
2017-06-23,1
2017-06-25,1
2017-06-26,3
2017-06-27,1
2017-06-27,2
2017-06-29,1
2017-07-03,1
